e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_CountLineBlank,m_AvgCyclomatic,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLineCode,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountStmt,md_SumCyclomaticModified,bug
6.142037,3.135494,5.247024,2.397895,2.079442,1.791759,2.079442,2.302585,2.944439,1.098612,1.098612,1.098612,2.397895,2.70805,3.465736,4.356709,1.791759,4.564348,3.332205,1.791759,3.637586,1.609438,5.252273,0.693147,3.73767,2.302585,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1
5.288267,1.386294,4.143135,1.386294,1.098612,0.0,0.0,0.0,1.386294,0.0,0.0,0.0,0.0,0.693147,0.0,4.007333,0.0,1.791759,0.0,0.0,1.386294,0.0,4.143135,0.693147,0.693147,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0
4.219508,1.098612,4.990433,1.609438,1.386294,1.386294,2.079442,2.197225,2.564949,0.693147,0.693147,0.693147,2.197225,2.639057,2.890372,4.204693,1.386294,4.248495,2.639057,1.386294,3.433987,1.791759,4.990433,0.693147,3.295837,2.197225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4.736198,1.609438,5.26269,2.197225,1.791759,1.609438,1.386294,1.94591,2.772589,1.098612,1.098612,1.098612,1.94591,2.564949,2.772589,4.867534,1.609438,3.89182,2.397895,1.609438,3.178054,1.386294,5.26269,0.693147,3.135494,1.94591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1
4.158883,1.791759,6.490724,3.258097,2.995732,2.70805,2.890372,3.806662,4.219508,1.609438,1.609438,1.609438,3.871201,4.795791,5.241747,4.718499,2.833213,6.175867,5.099866,2.70805,5.220356,2.484907,6.490724,0.693147,5.648974,3.806662,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,1
4.941642,1.098612,5.023881,2.079442,1.94591,1.098612,2.197225,2.302585,3.044522,0.693147,0.693147,0.693147,2.302585,2.639057,2.079442,4.418841,1.098612,3.912023,2.079442,1.098612,3.135494,2.197225,5.023881,0.693147,3.044522,2.302585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.288267,1.098612,4.941642,0.693147,0.693147,1.386294,1.386294,1.791759,2.564949,0.693147,0.693147,0.693147,1.791759,2.772589,2.639057,4.077537,1.386294,4.248495,2.564949,1.386294,3.7612,1.386294,4.941642,0.693147,3.332205,1.791759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.736198,1.94591,4.189655,1.791759,0.693147,1.098612,1.098612,1.386294,2.197225,0.693147,0.693147,0.693147,1.386294,1.94591,2.197225,3.178054,1.098612,3.555348,2.079442,1.098612,2.944439,1.098612,4.189655,0.693147,2.639057,1.386294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0
4.941642,3.850148,4.189655,1.386294,0.693147,0.0,0.0,0.0,1.609438,0.0,0.0,0.0,0.0,0.693147,0.0,4.025352,0.0,1.94591,0.0,0.0,1.609438,0.0,4.189655,0.693147,0.693147,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,3.828641,0.0,0.0,0.0,0.0,0.0,0.0,3.850148,0.0,0.0,1
4.941642,3.850148,4.356709,1.386294,1.098612,0.0,0.0,0.0,2.197225,0.0,0.0,0.0,0.0,0.693147,0.0,4.043051,0.0,2.639057,0.0,0.0,2.484907,0.0,4.356709,0.693147,0.693147,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,3.828641,0.0,0.0,0.0,0.0,0.0,0.0,3.850148,0.0,0.0,1
