project,cls_boot,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
camel-1.2,RandomForestClassifier(random_state=0)0,0.0016447368421052167,0.002828947368421013,0.0,0.0070394736842105,0.001184210526315752,0.003947368421052588,0.019210526315789435,0.01197368421052627,0.0009868421052631193,0.0032236842105262697,0.005460526315789429,0.0011842105263157432,0.0006578947368420796,0.036973684210526284,0.00921052631578943,0.0,0.0,0.0021710526315789113,0.0,0.005460526315789433
camel-1.2,RandomForestClassifier(random_state=0)1,0.0011842105263158143,0.0026315789473684427,0.004078947368421071,0.006776315789473721,0.0011842105263158143,0.0021052631578947476,0.007039473684210567,0.010526315789473717,0.0008552631578947523,0.008552631578947402,0.008157894736842133,0.0,0.0026973684210526505,0.00993421052631581,0.01282894736842108,0.0,0.0001315789473684248,0.010986842105263177,1.7763568394002505e-17,0.0069078947368421415
camel-1.2,RandomForestClassifier(random_state=0)2,0.0012500000000000221,0.0013815789473684515,0.002960526315789469,0.005592105263157925,0.0006578947368421285,0.000131578947368447,0.013092105263157926,0.005065789473684234,0.005789473684210558,0.0003289473684210842,0.0033552631578947566,0.0,0.0011842105263158232,0.026052631578947376,0.0043421052631579206,0.0,-6.578947368420352e-05,0.00473684210526319,0.0038815789473684247,0.007960526315789508
camel-1.2,RandomForestClassifier(random_state=0)3,0.0003947368421052433,0.0,0.010986842105263128,0.006381578947368376,0.002763157894736792,0.0013157894736841858,0.019736842105263133,0.01315789473684208,0.0008552631578947034,0.002894736842105208,0.007960526315789456,0.003026315789473637,0.0001315789473684159,0.014868421052631553,0.008552631578947336,0.0,0.0,0.011381578947368394,0.0,0.046052631578947324
camel-1.2,RandomForestClassifier(random_state=0)4,0.0006578947368420796,0.0006578947368420796,0.004999999999999946,0.007894736842105239,0.003552631578947323,0.000328947368421022,0.016249999999999952,0.01473684210526312,0.013223684210526275,0.0024342105263157475,0.007105263157894703,0.0,0.0017763157894736504,0.030789473684210488,0.011447368421052588,0.0,-0.00013157894736843813,0.00559210526315785,0.0013815789473683759,0.007697368421052597
camel-1.2,RandomForestClassifier(random_state=0)5,0.0005263157894736992,0.0,0.013421052631578965,0.009210526315789481,0.0028947368421052746,0.0065131578947368405,0.02493421052631581,0.027368421052631594,0.01157894736842107,0.005394736842105257,0.013815789473684231,0.0011842105263158232,0.0005921052631579071,0.01756578947368423,0.004473684210526323,0.0,0.0,0.0076973684210526324,0.0016447368421052967,0.0018421052631579294
camel-1.2,RandomForestClassifier(random_state=0)6,0.00164473684210531,0.0,0.001447368421052686,0.004013157894736908,0.0017763157894737347,0.0025657894736842613,0.02039473684210532,0.016184210526315843,0.00250000000000004,0.007631578947368482,0.008815789473684266,0.00631578947368427,0.0,0.02125000000000005,0.011315789473684265,0.0,6.578947368422572e-05,0.025986842105263207,0.0017105263157895223,0.006184210526315845
camel-1.2,RandomForestClassifier(random_state=0)7,0.0008552631578947123,0.0015789473684210131,0.0,0.003289473684210509,0.001184210526315752,0.001315789473684159,0.017763157894736828,0.008355263157894725,0.004802631578947363,0.0034210526315789245,0.005197368421052633,0.0,0.0009868421052631193,0.03197368421052629,0.0030921052631578717,0.001842105263157854,0.0,0.006907894736842097,0.0,0.024407894736842094
camel-1.2,RandomForestClassifier(random_state=0)8,0.00013157894736847363,0.002960526315789531,0.0,0.005000000000000053,0.0007236842105263585,0.0018421052631579515,0.016315789473684242,0.00828947368421057,0.005921052631578996,0.00513157894736846,0.004605263157894783,0.0007236842105263497,0.0,0.0074342105263158365,0.012171052631578992,0.0,-0.0003289473684210087,0.003815789473684266,0.0026973684210527082,0.01203947368421057
camel-1.2,RandomForestClassifier(random_state=0)9,0.0,0.002631578947368385,0.0,0.007236842105263137,0.0026315789473683802,0.0,0.021447368421052625,0.005592105263157885,0.002368421052631553,0.005526315789473673,0.0028289473684210355,0.0029605263157894556,0.001578947368421022,0.007171052631578929,0.011973684210526319,0.0,0.0,0.005723684210526305,0.00046052631578944234,0.016052631578947377
camel-1.2,RandomForestClassifier(random_state=0)10,0.0008552631578947523,0.001644736842105301,0.0013815789473684559,0.010986842105263208,0.0021052631578947524,0.001842105263157916,0.02078947368421057,0.008421052631578982,0.028486842105263185,0.006644736842105283,0.0021052631578947654,0.0,0.004342105263157912,0.04348684210526319,0.004013157894736872,0.0,0.0,0.003881578947368438,0.0,0.0022368421052631816
camel-1.2,RandomForestClassifier(random_state=0)11,0.0023684210526315488,0.0009210526315789247,0.0020394736842104778,0.007368421052631571,0.0016447368421052256,0.0025657894736841945,0.021644736842105244,0.009934210526315778,0.0003289473684210398,0.012302631578947367,0.004934210526315783,0.001842105263157854,0.0028947368421052434,0.01223684210526315,0.009736842105263141,0.0,-6.57894736842124e-05,0.013026315789473672,0.0013815789473683848,0.005131578947368416
camel-1.2,RandomForestClassifier(random_state=0)12,0.002302631578947336,0.0004605263157894557,0.007565789473684208,0.007697368421052611,0.0028947368421052477,0.0,0.010789473684210514,0.01848684210526315,0.00710526315789473,0.004342105263157872,0.008749999999999987,0.0,0.00249999999999996,0.039144736842105246,0.011578947368421048,0.0,0.003355263157894721,0.005657894736842093,0.0002631578947368318,0.005855263157894725
