project,cls_boot,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
EQ,LogisticRegression(random_state=0)21,0.01626866302922645,0.013710612020471231,0.020535465042507372,0.000702110561265532,0.0006175189273781445,0.006633675929450633,0.0010996912405363578,0.0013856109630758162,-0.00023008924417370125,0.012397749862538667,0.0005193926320687492,0.004466438269255213,0.007838260796007308,0.012837626358753167,0.005806369750031779,-0.0005498456202680791,0.015263714418644042,0.005513682696781332,0.04456287273188685,0.003539313961849233,0.004474897432643945,-7.951613585410744e-05,0.005774224929154564,0.006841771348813674,0.00782810979994084,0.011325127944846285,0.010499513598105201,0.002463308378801368,0.011379266590534258,-0.0017425876580805522,0.004400456794823055,0.0011081504039251032,0.00038912151588213815,0.009604534111576402,0.016612105062809343,0.001360233472909571,0.05047413610793898,0.05142494607283344,0.008951486697965633,0.01974537918199897,0.022222222222222265,0.023039377405574622,0.0356350716914098,0.03470456371864827,0.003764327707989734,0.01922260288457479,-0.0001404221122530469,0.012617688110645906,0.025575434589519146,0.048723089286469616,0.135089455652836,0.0037710950387007313,0.04580467791735403,0.024497737173793565,0.03236983462335581,0.00013365478154216514,0.008574208010827764,0.016825275980205615,0.0009795711204162582,0.015289091908810275,0.006623524933384144
EQ,LogisticRegression(random_state=0)22,0.0038711704634721666,0.011844461901021251,0.046097407698350384,0.005817753338570362,0.0035710919088767445,0.04144854673998433,0.0008578161822467223,0.0012207384131972532,0.008036135113904214,-0.0006724273369991529,0.020133542812254577,-0.0001256873527100666,0.0019340141398272604,0.02477611940298514,0.04536213668499611,0.04131343283582094,0.016215239591516165,0.010741555380989833,0.002053417124901862,0.002073841319717249,0.02569835035349574,0.004601728201099813,0.002608012568735334,0.019439120188531063,0.00226551453260023,0.01905734485467406,0.00015868028279661495,-0.000633150039277246,0.002856245090337857,0.0005608798114690528,0.0026881382560880462,0.02043362136685002,0.002443047918303272,0.027981146897093526,-0.0012663000785545187,0.008081696779261653,0.011569520816967844,0.007772191673212952,0.0002073841319717884,0.02063315003927736,-0.002202670856245015,0.0009677926158680883,0.019046347211311897,0.019324430479183117,0.004062843676355121,0.02811154752553029,0.005063629222309558,0.02887981146897099,0.026309505106048757,0.01282482325216034,0.015000785545954475,0.034221523959151665,0.04669599371563241,0.017104477611940342,0.002793401413982792,0.04047604084838971,-0.001311861743911944,0.024881382560879885,0.012849960722702346,0.005706205813040115,0.004120974076983579
EQ,LogisticRegression(random_state=0)23,0.0022043948378095957,0.022699686083013662,0.07258535829167155,5.773159728050814e-17,0.0039964345231175225,0.005586947254195307,0.007183660814634019,0.012570631321939372,0.0025934968802077928,0.0029872495446266623,0.03259465953571295,0.002370267023214403,0.0064473123280239086,0.05344804867651051,0.014776576367089164,0.004514203774754933,0.00531101034763406,0.026705421850172523,0.018307948688137062,0.011663760027903773,0.045814827733209364,0.0010386389179553345,0.0032399333410844154,0.009208231600976679,0.0013424795566407655,0.0028353292252839423,0.010220516994148037,0.0002790373212417885,-4.185559818620455e-05,-6.200829360921034e-05,0.01732356702708989,0.007551059954268955,0.00017982405146693025,0.00015502073402323457,0.02970352284618072,0.004500251908692854,0.004227415416812046,0.00040615432314076825,0.010065496260124842,0.02050769290392596,0.00019067550284856515,0.009443863116691932,0.009118319575243228,0.026158198659070712,0.0007968065728791851,0.009822113707708474,0.01502770995620669,0.00729992636515139,0.02391194822307487,0.08331279308607535,0.0032337325117234974,0.01325737317366204,0.018597837460760443,0.023558500949502056,0.0011766073712359847,0.07447816145409454,0.021709103592605583,0.004943611207999141,0.00041700577452240316,0.0009053210866954054,0.01264659148161071
EQ,LogisticRegression(random_state=0)24,0.003421516754850189,0.002653519320186075,0.02519961519961532,0.012477152477152616,0.0029822029822030903,0.005116241782908548,0.009900593233926695,0.008537758537758653,0.0016354016354017409,0.020431297097963878,0.01614718614718624,0.006589706589706652,0.030790444123777568,0.020404040404040508,0.023718133718133867,0.0005643738977073331,0.00564854898188242,0.008986692320025767,0.01372615039281714,0.01079204745871425,0.03816418149751495,0.008423921757255183,0.0024899791566459274,0.01358826358826371,0.0041750841750842985,0.006140772807439614,0.006028539361872789,0.001428571428571561,0.005185185185185297,0.0006525573192240808,0.00018919352252694922,0.0071107904441239,0.005072951739618521,0.0024354657687992052,0.014027577360910821,0.007612634279301056,0.009156645823312588,0.024397947731281164,0.03379028379028395,0.0028635561968896363,0.01756453423120102,0.004888568221901673,0.021035754369087823,0.03964726631393313,0.0005178771845439378,0.02493987493987508,0.003511303511303594,0.004539041205707975,0.013043129709796509,0.059554272887606355,0.0018582651915986226,0.005087381754048521,0.0035369568702902977,0.0015632515632516553,0.09168350168350178,0.019129389129389263,0.029754689754689857,0.0032114798781466636,0.0022238255571589783,0.005079365079365226,0.0054641654641655575
EQ,GaussianNB()0,0.010225694444444407,0.003987531565656508,0.006627998737373683,0.006644570707070652,0.0013012941919191246,0.00705176767676762,0.006661931818181759,0.002787247474747425,0.009185606060605998,0.0002304292929292462,0.00608664772727268,0.008245738636363601,0.007784880050505003,0.007639678030302983,0.016975220959595905,0.008555082070707019,0.008214962121212062,0.012788825757575707,0.0031392045454544837,0.006326546717171655,0.006251578282828229,0.011965751262626237,-0.0009588068181818743,0.009910037878787824,0.0009335542929292329,0.007704387626262585,0.027251420454545407,0.003166035353535306,0.003869160353535306,0.002396622474747425,0.005067077020201971,0.003522727272727213,0.010176767676767616,0.006445707070707014,0.009165088383838324,0.007488162878787818,0.002929292929292879,0.007094381313131239,0.0016808712121211533,0.010138099747474687,0.0013880997474746914,0.0035669191919191425,0.0012089646464645875,0.015244633838383774,-0.00026199494949500577,0.011057449494949419,0.006811079545454488,0.0015214646464646053,0.0020935921717171314,0.004989741161616106,0.00167534722222217,0.0060014204545453965,0.004491003787878731,0.0007125946969696484,0.004673295454545392,0.01101325757575752,0.003171559343434298,0.002755681818181768,0.00706360479797973,0.0031297348484847953,0.004367897727272649
EQ,GaussianNB()1,0.010922305764411,0.011666666666666648,0.0076608187134502796,0.02051378446115286,0.0037761069340016286,0.014543859649122765,0.011199665831244756,0.0055530492898913765,0.004790309106098554,0.004491228070175408,0.010244778613199638,0.005146198830409352,0.014464494569757722,0.012384294068504569,0.0030860484544694656,0.003454469507101061,0.004417710944026716,0.018245614035087704,0.010640768588136992,0.010918964076858818,0.011447786131996627,0.004055137844611503,0.0014786967418545993,0.014839598997493701,0.013883040935672488,0.012470342522974076,0.01276106934001668,0.009020050125313267,0.003506265664160404,0.0048337510442773325,0.011019214703425213,0.002163742690058461,0.020468671679197966,0.011753550543024197,0.013437761069339995,0.01716791979949872,0.007277360066833744,0.016264828738512933,0.010201336675020855,0.016826232247284856,0.010229741019214682,0.016409356725146165,0.0025472013366749824,0.013350041771094391,0.006351712614870473,0.009060985797827876,0.006761904761904734,0.0007251461988303954,0.007086883876357542,0.011222222222222196,0.009712614870509567,0.018772765246449424,0.013565580618212168,0.004470342522974086,0.015405179615705906,0.01355054302422718,0.003258980785296548,0.008328320802004971,0.014379281537176238,0.01041520467836255,0.011881370091896413
EQ,GaussianNB()2,0.004466242138986645,0.01394533876517814,0.0070695724399794276,0.009934738757267705,0.018264446466004794,0.014052129889649158,0.009627022109717972,0.006111616501206321,0.0018771506545900208,0.003514614563145182,0.008390618201953876,0.011777874461100311,0.014158129968753675,0.018035834355100238,0.0017086579915357803,0.0017513744413241738,0.015936399952537258,0.009613574338488315,0.012685203496420496,0.01004232092710514,0.008337618162401599,0.013192263576316074,0.0007230154649368847,0.011157694893802165,0.0021041806747616578,0.006238183759838609,0.00524542182494164,0.005720049044812705,0.004166435945101407,0.0019499268283035898,0.003972629830320739,0.005496974251473317,0.01801368508483959,0.01613020606731793,0.006561721314717399,0.009799469999604474,0.00630304947988765,0.006936676818415508,0.007033975398489068,0.022908673812443124,0.004598346715184087,0.01059209745678916,0.007581378792073696,0.014961041015702224,0.0032393307756199484,0.010925918601431777,0.0112336352489815,0.0019973895502906824,0.004535063085867957,0.005080884388719675,0.004241585254914324,0.009866708855752861,0.007560811612545986,0.005252541233239709,0.009055096309773343,0.015350235335996505,0.004729660246015079,0.008169125499347367,0.009065379899537231,0.0037052564964600654,0.015343906973064878
EQ,GaussianNB()3,0.0187882653061225,0.009332748724489836,0.0072146045918367995,0.02131536989795922,0.007846779336734735,0.014471460459183745,0.008585778061224531,0.005086894132653117,0.005943877551020451,0.0037069515306123214,0.010455994897959236,0.011842315051020456,0.013922193877551075,0.013669483418367387,0.001412627551020469,0.004856505102040867,0.00456632653061229,0.01745057397959189,0.013161670918367396,0.008519610969387803,0.009406887755102077,0.006788105867346985,0.0016501913265306368,0.019141422193877614,0.01016741071428577,0.015653698979591874,0.014499362244898006,0.008829719387755145,0.005221619897959231,0.002841198979591888,0.01642139668367353,0.004931441326530664,0.01733577806122456,0.007807716836734744,0.01691804846938781,0.012735969387755168,0.006232461734693935,0.015229591836734753,0.00752949617346943,0.01923708545918373,0.006206951530612299,0.017577327806122492,0.004752869897959253,0.017626753826530672,0.010779655612244952,0.012274394132653126,0.00771683673469393,0.0016565688775510745,0.007624362244897984,0.009234693877551083,0.005876116071428616,0.01732461734693883,0.009720982142857198,0.0026171875000000444,0.01598692602040823,0.009242665816326595,0.0036447704081633294,0.006505102040816402,0.017491230867347003,0.008434311224489854,0.011154336734693952
EQ,GaussianNB()4,0.005966198979591813,0.009339923469387746,0.004397321428571423,0.013566645408163262,0.0016462053571428782,0.008837691326530627,0.005248724489795897,0.007093431122448983,0.0012858737244897788,0.003326690051020407,0.007746332908163262,0.00042410714285712637,0.006132812499999986,0.010444834183673493,0.0045408163265305964,0.0014572704081632626,0.008663105867346942,0.00934550382653061,0.003342633928571437,0.012243303571428577,0.008404017857142834,-0.002454559948979598,0.0036296237244897835,0.014638871173469372,0.005117187499999986,0.00835459183673469,0.0007987882653061185,0.009099170918367334,0.000610650510204076,0.0029830994897959017,0.010823501275510216,0.00037149234693879764,0.017629942602040826,0.0075494260204081835,0.007133290816326516,0.007591677295918377,0.002661033163265296,0.015285395408163281,0.00530373086734695,0.018443080357142858,0.005881696428571388,0.012458545918367312,0.007266422193877533,0.021088966836734713,0.010290975765306114,0.012373246173469368,0.01476084183673469,-0.0003523596938775464,0.0032876275510204025,0.009306441326530593,0.0077574936224489655,0.012205038265306119,0.004639668367346936,0.003853635204081636,0.014941804846938767,0.008627232142857131,0.007426658163265292,0.003137755102040818,0.012470503826530574,0.00800781250000001,0.006919642857142869
EQ,GaussianNB()5,0.012944226237234893,0.00856087981146899,0.004848389630793423,0.009311861743912013,0.0005545954438334721,0.0068837391987431355,0.01221366849960726,0.007104477611940317,0.004117831893165764,0.0019269442262372439,0.0058130400628436975,0.0004540455616653594,0.013073841319717222,0.009402199528672455,0.012745483110761974,-8.641005498819521e-05,0.0027423409269442312,0.010920659858601746,0.00741869599371566,0.008676355066771432,0.004846818538884526,0.003644933228593894,0.003279654359780091,0.011354281225451702,0.006647289866457204,0.01426472898664573,0.0026166535742340935,0.0020251374705420266,-0.0007839748625294574,0.0013715632364493492,-0.0003142183817753219,0.00617596229379421,0.01452867242733701,0.010864100549882166,0.015166535742340913,0.010113118617439132,0.0018711704634721338,0.013193244304791846,0.004767478397486258,0.016340926944226238,0.005091908876669278,0.009799685781618233,0.0004414768263943625,0.013837391987431285,0.0032458758837392086,0.006073841319717217,0.006781618224666133,-2.513747054200266e-05,0.005176747839748628,0.006556952081696812,0.003280439905734478,0.010006284367635523,0.007389630793401429,0.0024689709347997055,0.010779261586802834,0.010260801256873541,-1.885310290651976e-05,0.00392772977219169,0.012878240377062075,0.006098978790259241,0.008333071484681884
