project,cls_boot,accuracy,precision,recall,f1,auc,mcc
Zxing,RandomForestClassifier(random_state=0)0,0.717741935483871,0.5428571428571428,0.5,0.5205479452054795,0.6569767441860465,0.32157132221514
Zxing,RandomForestClassifier(random_state=0)1,0.7213114754098361,0.5714285714285714,0.2222222222222222,0.32,0.5762273901808787,0.21815522895968656
Zxing,RandomForestClassifier(random_state=0)2,0.6810344827586207,0.391304347826087,0.28125,0.3272727272727273,0.5572916666666667,0.1284489894925898
Zxing,RandomForestClassifier(random_state=0)3,0.628099173553719,0.44,0.2619047619047619,0.3283582089552239,0.542344786015672,0.09957779567756667
Zxing,RandomForestClassifier(random_state=0)4,0.6614173228346457,0.4090909090909091,0.23076923076923078,0.29508196721311475,0.5415209790209791,0.10121974304353878
Zxing,RandomForestClassifier(random_state=0)5,0.6814159292035398,0.6153846153846154,0.20512820512820512,0.3076923076923077,0.5687803187803188,0.2049607337845905
Zxing,RandomForestClassifier(random_state=0)6,0.6640625,0.53125,0.37777777777777777,0.4415584415584416,0.5985274431057563,0.2172810771516354
Zxing,RandomForestClassifier(random_state=0)7,0.7636363636363637,0.5555555555555556,0.5172413793103449,0.5357142857142857,0.6845466155810983,0.3778823963834327
Zxing,RandomForestClassifier(random_state=0)8,0.6692307692307692,0.5,0.4883720930232558,0.4941176470588235,0.6234963913392141,0.24849184225967472
Zxing,RandomForestClassifier(random_state=0)9,0.6666666666666666,0.4074074074074074,0.3055555555555556,0.3492063492063492,0.560823754789272,0.13372007157572324
Zxing,RandomForestClassifier(random_state=0)10,0.7185185185185186,0.65,0.29545454545454547,0.40625,0.6092657342657343,0.28833482572163954
Zxing,RandomForestClassifier(random_state=0)11,0.676923076923077,0.45,0.225,0.3,0.5513888888888889,0.13147377508595978
Zxing,RandomForestClassifier(random_state=0)12,0.6694915254237288,0.46875,0.40540540540540543,0.43478260869565216,0.5977644310977644,0.20404691346558715
Zxing,RandomForestClassifier(random_state=0)13,0.656,0.5,0.37209302325581395,0.42666666666666664,0.5884855360181509,0.1926313517707619
Zxing,RandomForestClassifier(random_state=0)14,0.6639344262295082,0.5,0.2926829268292683,0.3692307692307692,0.5722673893405601,0.1717465970795109
Zxing,RandomForestClassifier(random_state=0)15,0.7096774193548387,0.52,0.35135135135135137,0.4193548387096775,0.6067101584342963,0.24339331571934728
Zxing,RandomForestClassifier(random_state=0)16,0.6637931034482759,0.42424242424242425,0.4117647058823529,0.41791044776119407,0.590028694404591,0.18166083927623475
Zxing,RandomForestClassifier(random_state=0)17,0.7166666666666667,0.6363636363636364,0.35,0.45161290322580644,0.625,0.30457245193658633
Zxing,RandomForestClassifier(random_state=0)18,0.7050359712230215,0.45454545454545453,0.39473684210526316,0.4225352112676056,0.6082595101615426,0.22679769479630546
Zxing,RandomForestClassifier(random_state=0)19,0.6564885496183206,0.4074074074074074,0.275,0.32835820895522394,0.549587912087912,0.112916643055904
Zxing,RandomForestClassifier(random_state=0)20,0.7024793388429752,0.42857142857142855,0.375,0.39999999999999997,0.5976123595505618,0.20416641790030743
Zxing,RandomForestClassifier(random_state=0)21,0.768,0.53125,0.5483870967741935,0.5396825396825397,0.6944063143445436,0.38474118006788954
Zxing,RandomForestClassifier(random_state=0)22,0.6260869565217392,0.32432432432432434,0.4,0.3582089552238806,0.5529411764705882,0.0995280535087731
Zxing,RandomForestClassifier(random_state=0)23,0.6495726495726496,0.4090909090909091,0.24324324324324326,0.3050847457627119,0.5403716216216216,0.09609015686570681
Zxing,RandomForestClassifier(random_state=0)24,0.7322834645669292,0.6071428571428571,0.425,0.5,0.6492816091954023,0.3345255647961469
Zxing,LogisticRegression(random_state=0)0,0.6048387096774194,0.23809523809523808,0.13157894736842105,0.1694915254237288,0.472766217870257,-0.06695002116762265
Zxing,LogisticRegression(random_state=0)1,0.7131147540983607,0.5238095238095238,0.3055555555555556,0.3859649122807018,0.5946382428940569,0.22867927451984885
Zxing,LogisticRegression(random_state=0)2,0.7068965517241379,0.42857142857142855,0.1875,0.26086956521739124,0.5461309523809523,0.12658228903375654
Zxing,LogisticRegression(random_state=0)3,0.628099173553719,0.4117647058823529,0.16666666666666666,0.23728813559322035,0.520042194092827,0.05491263952888626
Zxing,LogisticRegression(random_state=0)4,0.7244094488188977,0.625,0.2564102564102564,0.3636363636363636,0.5941142191142191,0.26166003652826836
Zxing,LogisticRegression(random_state=0)5,0.6283185840707964,0.38461538461538464,0.1282051282051282,0.19230769230769232,0.51004851004851,0.02994388554031801
Zxing,LogisticRegression(random_state=0)6,0.6171875,0.4,0.17777777777777778,0.24615384615384614,0.5165997322623829,0.04365655948057515
Zxing,LogisticRegression(random_state=0)7,0.7272727272727273,0.45454545454545453,0.1724137931034483,0.25000000000000006,0.5491698595146872,0.14442970747104034
Zxing,LogisticRegression(random_state=0)8,0.6538461538461539,0.45,0.20930232558139536,0.28571428571428575,0.5414327719861,0.1080578940605914
Zxing,LogisticRegression(random_state=0)9,0.6666666666666666,0.4,0.2777777777777778,0.3278688524590164,0.5526819923371646,0.1191296925623991
Zxing,LogisticRegression(random_state=0)10,0.6666666666666666,0.45454545454545453,0.11363636363636363,0.18181818181818182,0.5238511488511488,0.08172955752163626
Zxing,LogisticRegression(random_state=0)11,0.676923076923077,0.42857142857142855,0.15,0.2222222222222222,0.5305555555555556,0.09098680561400195
Zxing,LogisticRegression(random_state=0)12,0.6186440677966102,0.3,0.16216216216216217,0.2105263157894737,0.4946613279946614,-0.013203180823112035
