label,counts,probability
1.0,623,0.25958333333333333
0.5,784,0.32666666666666666
0.2,727,0.30291666666666667
0.0,240,0.1
0.4,9,0.00375
0.07692307692307693,1,0.0004166666666666667
0.23076923076923078,1,0.0004166666666666667
0.15384615384615385,1,0.0004166666666666667
0.75,2,0.0008333333333333334
0.16666666666666666,6,0.0025
0.09523809523809523,1,0.0004166666666666667
0.09090909090909091,1,0.0004166666666666667
0.3333333333333333,1,0.0004166666666666667
0.14285714285714285,2,0.0008333333333333334
0.9583333333333334,1,0.0004166666666666667
