e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_CountLineBlank,m_AvgCyclomatic,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLineCode,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountDeclClass,md_CountStmt,md_SumCyclomaticModified,bug
3.295837,2.197225,5.66296,1.791759,0.693147,2.397895,3.465736,3.871201,2.772589,1.098612,1.098612,1.098612,3.912023,4.094345,4.584967,3.496508,2.397895,5.521461,4.394449,2.397895,4.70953,2.944439,5.66296,1.386294,4.941642,3.871201,0.0,0.693147,0.693147,0.0,0.0,0.0,0.0,0.693147,0.693147,1.609438,0.0,0.0,1.94591,1.386294,0.0,0.693147,0.0,1.94591,0.0,1.609438,0.693147,0
3.295837,1.94591,7.280008,3.663562,1.609438,2.639057,4.624973,4.85203,4.382027,1.098612,1.386294,1.098612,4.919981,4.787492,5.777652,6.721426,2.833213,6.386879,5.429346,2.564949,5.147494,3.828641,7.279319,0.693147,5.849325,4.812184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.609438,6.238325,2.397895,1.386294,3.135494,3.713572,4.418841,2.890372,1.609438,1.791759,1.609438,4.477337,4.532599,5.164786,5.09375,3.135494,5.831882,5.043425,3.135494,4.553877,2.890372,6.238325,0.693147,5.509388,4.406719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,4.369448,6.602588,2.890372,2.079442,3.663562,4.70048,5.01728,3.044522,1.609438,1.609438,1.609438,4.969813,4.727388,5.690359,5.451038,3.78419,6.198479,5.605802,3.663562,4.75359,3.496508,6.602588,0.693147,5.950643,4.890349,2.302585,2.397895,2.397895,0.0,0.0,0.0,0.693147,2.70805,1.609438,2.564949,0.0,2.70805,3.044522,2.70805,2.397895,1.609438,0.0,3.044522,0.0,2.944439,2.397895,0
3.295837,1.098612,5.062595,2.397895,1.609438,2.70805,2.772589,3.555348,2.890372,1.791759,1.791759,1.791759,3.583519,3.258097,4.219508,3.496508,2.70805,4.744932,4.189655,2.70805,3.295837,1.94591,5.062595,0.693147,4.51086,3.555348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.295837,2.397895,6.76273,3.044522,1.386294,3.258097,4.356709,5.068904,4.394449,1.94591,1.791759,1.791759,4.912655,4.70953,5.877736,5.293305,3.135494,6.39693,5.609472,3.091042,4.844187,3.258097,6.761573,0.693147,5.948035,4.919981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.806662,1.609438,5.370638,1.791759,0.693147,0.693147,2.639057,2.639057,1.098612,0.693147,0.693147,0.693147,2.639057,2.70805,0.0,5.278115,0.693147,2.890372,0.0,0.693147,2.833213,2.639057,5.370638,0.693147,2.70805,2.639057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,2.302585,5.541264,2.944439,1.098612,2.484907,3.295837,4.174387,2.484907,1.098612,1.098612,1.098612,4.204693,3.871201,4.59512,3.465736,2.484907,5.4161,4.574711,2.484907,4.143135,3.295837,5.541264,1.098612,4.969813,4.174387,0.0,0.693147,1.098612,0.693147,0.0,0.0,0.0,1.098612,0.693147,1.386294,0.0,0.0,1.94591,1.386294,0.0,0.693147,0.693147,2.079442,0.0,1.609438,1.098612,0
3.295837,2.197225,6.870053,2.564949,1.791759,2.944439,4.488636,5.42495,3.871201,2.079442,2.079442,2.079442,5.463832,5.087596,6.126869,5.356586,3.044522,6.632002,6.033086,2.944439,4.875197,3.496508,6.876265,0.693147,6.359574,5.4161,0.0,0.693147,1.386294,,0.693147,0.0,0.693147,1.386294,0.693147,1.94591,0.0,0.0,2.079442,2.302585,0.0,0.693147,0.0,1.94591,0.0,2.397895,1.386294,0
3.828641,0.693147,6.933423,2.890372,1.098612,2.70805,4.615121,5.209486,4.060443,1.386294,1.386294,1.386294,5.236442,5.187386,5.908083,5.659482,2.70805,6.583409,5.777652,2.70805,5.273,4.007333,6.934397,1.098612,6.216606,5.192957,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.693147,0.693147,0.0,0.0,0.0,0.693147,0.0,0.693147,0.0,0
3.295837,1.609438,6.226537,2.833213,1.386294,2.397895,4.127134,4.430817,2.639057,1.098612,1.098612,1.098612,4.465908,4.49981,5.117994,5.153292,2.397895,5.802118,4.905275,2.397895,4.454347,3.713572,6.226537,1.098612,5.411646,4.430817,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.693147,0.0,1.386294,0.0,0.0,1.609438,1.386294,0.0,0.0,0.0,1.609438,0.0,1.386294,0.693147,0
3.044522,1.609438,5.966147,2.944439,1.098612,2.197225,3.526361,4.276666,3.332205,1.386294,1.386294,1.386294,4.369448,4.276666,4.85203,4.727388,2.397895,5.590987,4.890349,2.197225,4.430817,3.091042,5.966147,0.693147,5.31812,4.276666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.806662,1.94591,4.919981,1.386294,0.0,0.0,0.0,0.0,2.890372,0.0,0.0,0.0,0.0,3.178054,0.0,4.543295,0.0,3.295837,0.0,0.0,3.258097,0.0,4.919981,0.693147,3.178054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.098612,6.50129,2.772589,1.098612,2.944439,4.430817,4.718499,3.496508,1.94591,2.079442,1.94591,4.75359,4.795791,5.438079,5.407172,2.944439,6.063785,5.327876,2.944439,4.718499,2.833213,6.50129,0.693147,5.786897,4.70953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.609438,5.638355,2.564949,1.098612,3.295837,2.890372,3.970292,2.70805,1.94591,1.386294,1.609438,3.401197,2.944439,5.141664,3.555348,2.484907,5.484797,4.718499,2.833213,3.663562,2.197225,5.63479,0.693147,4.867534,3.583519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.098612,4.912655,2.397895,1.609438,1.609438,2.639057,3.135494,1.609438,1.098612,1.098612,1.098612,3.218876,2.890372,4.317488,2.833213,1.609438,4.779123,4.143135,1.609438,3.218876,2.397895,4.912655,0.693147,4.382027,3.135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.295837,2.995732,7.118826,3.044522,0.693147,3.526361,4.804021,5.298317,4.465908,1.386294,1.386294,1.386294,5.455321,5.087596,6.274762,5.799093,3.178054,6.765039,6.142037,2.944439,5.17615,4.094345,7.118826,0.693147,6.43935,5.204007,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,0
3.295837,1.609438,7.720018,3.555348,1.791759,3.555348,5.365976,5.831882,5.945421,2.197225,2.302585,2.197225,5.918894,5.641907,7.015712,5.365976,3.688879,7.438384,6.458338,3.555348,5.945421,3.663562,7.720462,1.098612,6.823286,5.808142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.772589,3.044522,4.976734,2.772589,1.098612,1.609438,2.944439,3.218876,3.178054,1.098612,1.098612,1.098612,3.367296,3.583519,4.077537,2.70805,1.791759,4.70953,4.007333,1.609438,3.637586,2.397895,4.969813,0.693147,4.49981,3.218876,0.0,1.386294,1.386294,1.098612,0.0,0.0,0.0,1.609438,1.791759,2.397895,0.0,0.0,2.944439,2.302585,0.0,1.791759,0.693147,3.044522,0.0,2.70805,1.386294,0
3.295837,1.609438,5.57973,2.564949,1.94591,2.833213,2.397895,4.043051,3.091042,2.197225,2.397895,2.197225,4.304065,3.73767,4.882802,3.912023,3.258097,5.332719,4.812184,2.833213,3.713572,2.079442,5.57973,0.693147,5.099866,4.043051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.295837,3.258097,7.941296,2.564949,1.791759,3.135494,4.248495,5.521461,4.442651,1.791759,1.94591,1.791759,5.537334,5.996452,7.23201,6.52503,3.218876,7.644919,6.912743,3.135494,6.173786,3.7612,7.94094,0.693147,7.248504,5.476464,0.0,0.0,,1.098612,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0
3.295837,4.094345,5.78996,2.397895,0.693147,1.94591,3.663562,3.912023,3.713572,1.098612,1.386294,1.098612,4.127134,3.713572,4.682131,4.663439,2.079442,5.257495,4.574711,1.94591,3.7612,2.944439,5.78996,0.693147,4.919981,3.912023,0.0,1.94591,1.94591,1.609438,0.0,0.0,0.0,1.94591,1.386294,2.564949,3.332205,0.0,3.091042,2.302585,0.0,1.386294,1.386294,3.912023,0.0,2.564949,1.94591,0
3.806662,4.990433,6.990257,3.663562,1.94591,2.772589,4.682131,5.062595,4.477337,1.386294,1.386294,1.386294,5.141664,5.252273,5.916202,5.147494,2.833213,6.733402,5.68358,2.772589,5.796058,3.850148,6.989335,1.386294,6.182085,5.062595,0.0,2.70805,3.135494,1.94591,0.0,0.0,0.0,3.178054,3.401197,3.89182,2.639057,0.0,4.828314,3.555348,0.0,4.025352,2.302585,4.94876,0.693147,4.158883,3.135494,0
3.295837,1.94591,5.655992,2.484907,1.386294,2.890372,3.295837,3.912023,3.295837,1.386294,1.386294,1.386294,3.931826,3.637586,4.770685,4.356709,2.833213,5.288267,4.574711,2.772589,3.806662,2.772589,5.652489,0.693147,4.89784,3.871201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.806662,1.94591,3.7612,1.098612,0.0,0.693147,1.386294,1.386294,1.386294,0.693147,0.693147,0.693147,1.386294,1.791759,1.386294,3.135494,0.693147,2.890372,1.386294,0.693147,2.397895,1.386294,3.7612,0.693147,2.197225,1.386294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,3.135494,8.872067,3.583519,2.564949,5.398163,5.796058,6.812345,6.480045,1.386294,1.098612,1.098612,6.549651,6.4708,8.018955,7.853605,4.744932,8.422443,7.697121,4.219508,6.810142,5.505332,8.873888,0.693147,7.954021,6.426488,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,2.302585,1.94591,0.0,2.302585,2.302585,0.0,0.0,0.0,2.70805,0.0,2.302585,0.0,0
3.295837,3.295837,5.135798,1.609438,0.0,2.197225,2.995732,3.135494,2.772589,1.791759,1.94591,1.791759,3.332205,3.713572,3.912023,3.7612,2.484907,4.736198,3.73767,2.197225,3.806662,1.609438,5.135798,0.693147,4.406719,3.135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0
3.295837,3.258097,7.941296,2.564949,1.791759,3.135494,4.248495,5.521461,4.442651,1.791759,1.94591,1.791759,5.537334,5.996452,7.23201,6.52503,3.218876,7.644919,6.912743,3.135494,6.173786,3.7612,7.94094,0.693147,7.248504,5.476464,0.0,0.0,,1.098612,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0
3.828641,4.634729,7.173192,3.091042,0.693147,4.304065,4.779123,5.673323,4.219508,2.302585,1.791759,1.791759,5.123964,5.036953,6.687109,5.075174,3.688879,7.003974,6.139885,3.583519,5.187386,3.433987,7.173958,0.693147,6.424869,5.111988,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,,,0
4.060443,1.386294,5.874931,2.302585,0.0,3.218876,3.135494,4.189655,3.583519,1.609438,1.386294,1.386294,4.025352,4.304065,5.010635,4.025352,2.484907,5.598422,4.744932,2.397895,4.430817,2.772589,5.872118,0.693147,5.236442,3.951244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.0,0.0,0.693147,0.0,0.693147,0.0,0.693147,0.0,0
3.828641,3.135494,5.57973,2.484907,0.693147,2.639057,3.663562,3.970292,3.583519,1.609438,1.609438,1.609438,3.871201,3.555348,4.644391,4.077537,2.397895,5.231109,4.60517,2.484907,4.025352,2.484907,5.57973,0.693147,4.89784,3.871201,0.0,0.693147,0.693147,0.0,0.0,0.0,0.0,0.693147,0.0,0.693147,0.0,0.0,1.098612,0.693147,0.0,0.0,0.0,1.098612,0.0,0.693147,0.693147,0
3.295837,1.098612,4.875197,2.397895,1.609438,2.302585,2.944439,3.218876,2.302585,1.098612,1.098612,1.098612,3.258097,2.833213,3.951244,3.367296,2.397895,4.574711,3.89182,2.302585,3.178054,2.302585,4.875197,0.693147,4.174387,3.218876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.295837,1.098612,4.919981,2.639057,0.693147,2.564949,2.833213,3.401197,2.564949,1.386294,1.098612,1.098612,3.178054,2.833213,4.189655,3.637586,2.70805,4.644391,3.951244,2.302585,3.178054,2.197225,4.919981,0.693147,4.219508,2.995732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,2.70805,5.891644,2.639057,0.0,3.218876,3.135494,4.204693,3.610918,1.609438,1.386294,1.386294,4.060443,4.317488,5.023881,4.143135,2.484907,5.605802,4.762174,2.397895,4.430817,2.772589,5.888878,0.693147,5.252273,3.970292,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0
3.295837,1.609438,6.570883,2.397895,0.693147,2.397895,4.043051,4.49981,3.332205,1.098612,1.098612,1.098612,4.615121,4.127134,5.493061,5.700444,2.890372,5.996452,5.31812,2.397895,4.290459,3.637586,6.570883,0.693147,5.57973,4.49981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.94591,6.259581,2.639057,0.693147,1.791759,3.637586,4.094345,3.931826,1.098612,1.098612,1.098612,4.127134,4.248495,5.529429,4.682131,1.791759,5.971262,5.327876,1.791759,4.418841,3.332205,6.261492,0.693147,5.616771,4.094345,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,0
3.496508,3.496508,7.772332,2.772589,1.386294,4.718499,4.634729,6.052089,5.17615,2.302585,2.302585,1.791759,6.023448,5.327876,7.17549,6.401917,5.043425,7.481556,6.642487,4.248495,5.488938,3.78419,7.772332,0.693147,6.879356,5.501258,1.386294,0.0,1.791759,0.0,0.0,0.0,0.0,1.791759,0.0,3.044522,0.0,1.386294,3.218876,2.944439,1.386294,0.0,0.0,3.218876,0.0,2.944439,1.791759,1
3.295837,3.295837,5.42495,2.639057,1.609438,1.94591,2.833213,3.496508,1.609438,1.098612,1.098612,1.098612,3.555348,3.988984,4.304065,4.330733,1.94591,5.068904,4.025352,1.94591,4.007333,2.70805,5.420535,0.693147,4.691348,3.496508,0.0,1.098612,0.693147,0.0,0.0,0.0,0.0,0.693147,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.693147,1
3.295837,1.791759,4.290459,2.484907,1.791759,1.386294,2.197225,2.484907,2.197225,0.693147,1.098612,0.693147,2.639057,2.564949,3.135494,2.890372,1.609438,3.931826,3.091042,1.386294,2.995732,1.94591,4.290459,0.693147,3.526361,2.484907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,,0.0,0.693147,0.693147,0.0,0.0,0.0,0.693147,0.0,0.693147,0.0,1
3.295837,2.70805,5.347108,2.197225,0.0,2.564949,2.944439,3.465736,3.091042,1.386294,1.609438,1.386294,3.496508,3.433987,4.290459,4.007333,2.639057,4.94876,4.204693,2.564949,3.78419,2.197225,5.347108,0.693147,4.574711,3.465736,1.386294,0.0,1.386294,0.693147,0.0,0.693147,0.0,1.386294,0.693147,2.397895,1.791759,1.386294,2.639057,2.302585,1.386294,0.0,0.0,2.70805,0.0,2.397895,1.386294,0
3.295837,1.098612,7.616776,3.688879,1.098612,2.995732,5.298317,5.70711,5.549076,1.386294,1.386294,1.386294,5.736572,5.686975,6.530878,6.204558,2.995732,7.207119,6.276643,2.772589,6.018593,4.477337,7.616284,0.693147,6.716595,5.66296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.496508,1.94591,5.843544,2.484907,1.098612,1.791759,3.688879,4.043051,1.609438,0.693147,0.693147,0.693147,4.060443,4.343805,4.574711,4.672829,1.791759,5.480639,4.477337,1.791759,4.454347,3.496508,5.843544,0.693147,5.099866,4.043051,0.0,0.693147,0.693147,0.0,0.0,0.0,0.0,0.693147,0.0,1.386294,0.0,0.0,1.609438,1.098612,0.0,0.0,0.0,1.609438,0.0,1.098612,0.693147,0
3.828641,4.634729,7.173192,3.091042,0.693147,4.304065,4.779123,5.673323,4.219508,2.302585,1.791759,1.791759,5.123964,5.036953,6.687109,5.075174,3.688879,7.003974,6.139885,3.583519,5.187386,3.433987,7.173958,0.693147,6.424869,5.111988,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,,,0
3.295837,1.098612,4.094345,2.484907,1.791759,1.386294,1.94591,2.397895,1.94591,0.693147,0.693147,0.693147,2.197225,2.079442,2.944439,2.995732,1.098612,3.663562,2.833213,1.098612,2.639057,1.94591,4.094345,0.693147,3.178054,2.302585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.295837,3.970292,7.617268,3.78419,1.098612,2.995732,5.298317,5.70711,5.549076,1.386294,1.386294,1.386294,5.736572,5.686975,6.530878,6.206576,2.995732,7.207119,6.276643,2.772589,6.018593,4.477337,7.616776,0.693147,6.716595,5.66296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.609438,5.57973,2.564949,1.94591,2.833213,2.397895,4.043051,3.091042,2.197225,2.397895,2.197225,4.304065,3.73767,4.882802,3.912023,3.258097,5.332719,4.812184,2.833213,3.713572,2.079442,5.57973,0.693147,5.099866,4.043051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.828641,4.955827,6.817831,3.496508,1.94591,2.772589,4.543295,4.875197,4.26268,1.386294,1.386294,1.386294,4.94876,5.049856,5.746203,5.030438,2.890372,6.552508,5.484797,2.772589,5.602119,3.688879,6.816736,1.098612,5.981414,4.875197,0.0,0.0,0.693147,,0.0,0.0,0.0,0.693147,1.098612,,1.386294,0.0,2.079442,1.386294,0.0,2.197225,0.693147,2.302585,0.0,1.791759,0.693147,0
3.295837,2.564949,5.918894,2.70805,1.386294,2.944439,3.988984,4.406719,2.70805,1.791759,1.609438,1.609438,4.189655,4.007333,5.192957,4.219508,2.639057,5.726848,4.941642,2.70805,4.219508,2.833213,5.918894,0.693147,5.267858,4.26268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,1.098612,5.932245,2.397895,0.693147,2.639057,3.496508,4.219508,3.178054,1.386294,1.609438,1.386294,4.454347,3.688879,5.153292,4.369448,2.833213,5.666427,4.976734,2.639057,4.025352,3.044522,5.932245,0.693147,5.214936,4.219508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.828641,3.583519,5.497168,2.484907,1.386294,2.70805,3.663562,3.78419,3.433987,1.609438,1.609438,1.609438,3.73767,3.78419,4.477337,3.663562,2.484907,5.198497,4.382027,2.564949,4.158883,2.302585,5.497168,0.693147,4.812184,3.73767,0.693147,1.098612,1.098612,0.693147,0.0,0.0,0.0,1.098612,0.693147,0.693147,0.0,0.693147,1.609438,0.693147,0.693147,0.693147,0.0,1.791759,0.0,1.098612,1.098612,0
3.295837,1.098612,7.616776,3.688879,1.098612,2.995732,5.298317,5.70711,5.549076,1.386294,1.386294,1.386294,5.736572,5.686975,6.530878,6.204558,2.995732,7.207119,6.276643,2.772589,6.018593,4.477337,7.616284,0.693147,6.716595,5.66296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.295837,3.7612,5.874931,2.639057,1.386294,1.791759,3.367296,3.713572,2.944439,0.693147,0.693147,0.693147,3.713572,4.094345,4.875197,4.663439,1.791759,5.46806,4.70953,1.791759,4.219508,3.178054,5.874931,0.693147,5.135798,3.713572,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,1.386294,0.693147,0.0,0.0,0.0,1.098612,0.0,0.693147,0.0,0
3.828641,2.079442,5.463832,2.397895,0.0,2.484907,3.135494,3.713572,3.178054,1.386294,1.386294,1.098612,3.7612,3.663562,4.532599,3.7612,2.70805,5.147494,4.219508,2.484907,3.806662,2.639057,5.46806,0.693147,4.663439,3.663562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0
3.828641,0.693147,5.869297,1.791759,0.693147,0.693147,3.135494,3.135494,3.332205,0.693147,0.693147,0.693147,3.135494,3.178054,0.0,5.66296,0.693147,3.663562,0.0,0.693147,3.663562,3.135494,5.866468,0.693147,3.178054,3.135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0
3.295837,4.094345,5.78996,2.397895,0.693147,1.94591,3.663562,3.912023,3.713572,1.098612,1.386294,1.098612,4.127134,3.713572,4.682131,4.663439,2.079442,5.257495,4.574711,1.94591,3.7612,2.944439,5.78996,0.693147,4.919981,3.912023,0.0,1.94591,1.94591,1.609438,0.0,0.0,0.0,1.94591,1.386294,2.564949,3.332205,0.0,3.091042,2.302585,0.0,1.386294,1.386294,3.912023,0.0,2.564949,1.94591,0
3.295837,1.609438,5.57973,2.564949,1.94591,2.833213,2.397895,4.043051,3.091042,2.197225,2.397895,2.197225,4.304065,3.73767,4.882802,3.912023,3.258097,5.332719,4.812184,2.833213,3.713572,2.079442,5.57973,0.693147,5.099866,4.043051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
