project,cls_boot,accuracy,precision,recall,f1,auc,mcc
camel-1.2,RandomForestClassifier(random_state=0)0,0.7393617021276596,0.7209302325581395,0.45588235294117646,0.5585585585585585,0.6779411764705883,0.40713018611109036
camel-1.2,RandomForestClassifier(random_state=0)1,0.6785714285714286,0.6666666666666666,0.4050632911392405,0.5039370078740157,0.6341555771935519,0.30605094718817194
camel-1.2,RandomForestClassifier(random_state=0)2,0.6813725490196079,0.7142857142857143,0.3614457831325301,0.48000000000000004,0.6311361147067609,0.31864116907873985
camel-1.2,RandomForestClassifier(random_state=0)3,0.655,0.6097560975609756,0.32051282051282054,0.42016806722689076,0.5946826397646069,0.2287900216709756
camel-1.2,RandomForestClassifier(random_state=0)4,0.689119170984456,0.6153846153846154,0.4444444444444444,0.5161290322580646,0.6395775941230486,0.3042940139846295
camel-1.2,RandomForestClassifier(random_state=0)5,0.649746192893401,0.58,0.37662337662337664,0.4566929133858268,0.6008116883116883,0.22606493277340392
camel-1.2,RandomForestClassifier(random_state=0)6,0.6220095693779905,0.5576923076923077,0.3411764705882353,0.4233576642335767,0.5778462998102467,0.17690364345115864
camel-1.2,RandomForestClassifier(random_state=0)7,0.625615763546798,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.543355119825708,0.09631751281326377
camel-1.2,RandomForestClassifier(random_state=0)8,0.6456310679611651,0.48148148148148145,0.36619718309859156,0.416,0.579394887845592,0.171593139381205
camel-1.2,RandomForestClassifier(random_state=0)9,0.64,0.5306122448979592,0.3466666666666667,0.41935483870967744,0.5813333333333334,0.18310394098813962
camel-1.2,RandomForestClassifier(random_state=0)10,0.6435185185185185,0.6428571428571429,0.30337078651685395,0.4122137404580153,0.5926302751481908,0.23039897581588584
camel-1.2,RandomForestClassifier(random_state=0)11,0.6391752577319587,0.6052631578947368,0.2948717948717949,0.39655172413793105,0.5827807250221044,0.2045414921851836
camel-1.2,RandomForestClassifier(random_state=0)12,0.6512820512820513,0.5094339622641509,0.391304347826087,0.44262295081967207,0.5924775707384403,0.19878981039887167
camel-1.2,RandomForestClassifier(random_state=0)13,0.6601941747572816,0.5254237288135594,0.4246575342465753,0.46969696969696967,0.6070656092285508,0.22655965026129596
camel-1.2,RandomForestClassifier(random_state=0)14,0.6666666666666666,0.4878048780487805,0.31746031746031744,0.3846153846153846,0.5773348098929494,0.17721062031563747
camel-1.2,RandomForestClassifier(random_state=0)15,0.6230366492146597,0.40350877192982454,0.3770491803278688,0.3898305084745763,0.5577553593947037,0.11769799184125393
camel-1.2,RandomForestClassifier(random_state=0)16,0.6634146341463415,0.7272727272727273,0.2857142857142857,0.4102564102564102,0.6056670602125147,0.2828008792911813
camel-1.2,RandomForestClassifier(random_state=0)17,0.69,0.7741935483870968,0.3037974683544304,0.43636363636363634,0.6229731143425045,0.33221726541650415
camel-1.2,RandomForestClassifier(random_state=0)18,0.6381909547738693,0.574468085106383,0.34177215189873417,0.42857142857142855,0.5875527426160339,0.20171267854843072
camel-1.2,RandomForestClassifier(random_state=0)19,0.6444444444444445,0.5952380952380952,0.3472222222222222,0.43859649122807015,0.5949074074074073,0.21985889612999387
camel-1.2,RandomForestClassifier(random_state=0)20,0.6439024390243903,0.48214285714285715,0.38028169014084506,0.42519685039370075,0.581931889846542,0.17497556073066398
camel-1.2,RandomForestClassifier(random_state=0)21,0.6616161616161617,0.5294117647058824,0.38571428571428573,0.4462809917355372,0.5991071428571428,0.21669315916113677
camel-1.2,RandomForestClassifier(random_state=0)22,0.64,0.5254237288135594,0.41333333333333333,0.46268656716417916,0.5946666666666667,0.2009912527248778
camel-1.2,RandomForestClassifier(random_state=0)23,0.6346153846153846,0.484375,0.4189189189189189,0.4492753623188406,0.5863251311012505,0.17908708530886008
camel-1.2,RandomForestClassifier(random_state=0)24,0.6666666666666666,0.58,0.3717948717948718,0.453125,0.6063519813519814,0.24130418518999994
camel-1.2,LogisticRegression(random_state=0)0,0.6861702127659575,0.9090909090909091,0.14705882352941177,0.25316455696202533,0.5693627450980392,0.2840000207089635
camel-1.2,LogisticRegression(random_state=0)1,0.6275510204081632,0.8,0.10126582278481013,0.1797752808988764,0.5420859028453966,0.18763620834321326
camel-1.2,LogisticRegression(random_state=0)2,0.5882352941176471,0.46153846153846156,0.07228915662650602,0.125,0.5072189584785423,0.029036743694926537
camel-1.2,LogisticRegression(random_state=0)3,0.645,0.8888888888888888,0.10256410256410256,0.1839080459770115,0.5471836906263136,0.2220297559900529
camel-1.2,LogisticRegression(random_state=0)4,0.6580310880829016,0.6363636363636364,0.19444444444444445,0.29787234042553196,0.5641643709825528,0.19528706328340187
camel-1.2,LogisticRegression(random_state=0)5,0.6243654822335025,0.5789473684210527,0.14285714285714285,0.22916666666666666,0.5380952380952381,0.12593599328672447
camel-1.2,LogisticRegression(random_state=0)6,0.5980861244019139,0.5384615384615384,0.08235294117647059,0.14285714285714285,0.5169829222011385,0.06908169888534213
camel-1.2,LogisticRegression(random_state=0)7,0.6551724137931034,0.45,0.1323529411764706,0.20454545454545453,0.5254357298474945,0.08056659275522186
camel-1.2,LogisticRegression(random_state=0)8,0.6553398058252428,0.5,0.16901408450704225,0.25263157894736843,0.5400625978090766,0.11869265555337735
camel-1.2,LogisticRegression(random_state=0)9,0.605,0.4375,0.18666666666666668,0.26168224299065423,0.5213333333333333,0.0563436169819011
camel-1.2,LogisticRegression(random_state=0)10,0.6111111111111112,0.6666666666666666,0.11235955056179775,0.1923076923076923,0.5364947359108202,0.14132318823634235
