project,cls_boot,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Zxing,RandomForestClassifier(random_state=0)0,0.0,0.0,0.0,0.0,-0.0020289855072463505,0.0,-0.01072463768115938,-0.0052173913043477875,0.009855072463768155,0.01043478260869569,0.00492753623188408,-0.014492753623188364,-0.029565217391304334,0.008985507246376846,-0.03217391304347824,0.0,0.0011594202898550776,0.002318840579710173,0.0,0.0,0.0,0.0,0.0,0.0,-0.005507246376811548,0.0
Zxing,RandomForestClassifier(random_state=0)1,0.0,0.0,0.0,0.0,0.005565217391304382,0.004521739130434806,0.004521739130434814,0.0,0.007304347826087008,0.013565217391304375,0.002086956521739145,0.047304347826087015,0.00939130434782613,0.0,0.0038260869565217657,0.003478260869565242,0.00973913043478265,0.004173913043478286,0.0,0.0,0.0,0.0,0.0,0.01182608695652177,0.005913043478260911,0.0038260869565217657
Zxing,RandomForestClassifier(random_state=0)2,0.0,0.0,0.0,0.0,0.00161290322580645,0.0,0.007741935483870996,-0.0064516129032258,0.010967741935483897,0.0035483870967741903,0.0016129032258064546,-0.009999999999999992,-0.030322580645161263,-0.0012903225806451602,-0.030967741935483843,0.0012903225806451602,0.00967741935483875,-0.029677419354838683,0.0022580645161290303,0.005161290322580645,-0.021612903225806432,0.0019354838709677402,-0.0038709677419354804,-0.01258064516129031,-0.007741935483870961,-0.0041935483870967705
Zxing,RandomForestClassifier(random_state=0)3,0.0,0.0,0.0,0.0,0.005439999999999992,0.0,0.002240000000000002,0.0,0.002879999999999998,0.021759999999999925,0.0,0.07296,0.003519999999999999,0.0,0.0009600000000000009,0.0,0.007359999999999975,0.00416,0.0,0.0,0.0,0.0,0.012159999999999954,0.0,0.0,0.0
Zxing,RandomForestClassifier(random_state=0)4,0.0,0.0,0.0,0.0,0.015161290322580631,0.0,0.0035483870967741903,0.0,0.0035483870967741903,0.01225806451612902,0.010967741935483862,0.045483870967741896,0.016129032258064502,0.0,0.0022580645161290303,0.008064516129032251,0.030967741935483843,0.0067741935483870905,0.0,0.0,0.0,0.009032258064516121,0.0029032258064516105,0.0067741935483870905,0.0009677419354838701,0.0025806451612903204
Zxing,RandomForestClassifier(random_state=0)5,0.0,0.0,0.0,0.0,-0.006428571428571392,0.00035714285714286034,0.0057142857142857655,-0.012857142857142824,0.019642857142857184,0.018214285714285766,0.004285714285714324,0.0153571428571429,0.012857142857142918,0.01464285714285718,0.012500000000000067,0.0,-0.028214285714285695,0.00214285714285718,0.0,0.0,0.0,-0.014999999999999965,0.0,0.0,0.0,0.0
Zxing,RandomForestClassifier(random_state=0)6,0.0,0.015495495495495528,0.014414414414414444,0.0,0.038198198198198224,0.0,0.0392792792792793,0.0,0.035675675675675714,0.05513513513513515,0.0212612612612613,0.013693693693693722,0.010450450450450472,0.03495495495495499,0.014054054054054084,0.008648648648648666,0.015495495495495528,0.017657657657657696,0.027747747747747797,0.033873873873873916,0.02810810810810815,0.011891891891891916,0.03675675675675679,0.03495495495495499,0.03639639639639644,0.0
Zxing,RandomForestClassifier(random_state=0)7,0.0,0.0,0.0,0.0,0.007328244274809172,0.011297709923664141,0.011603053435114523,0.0,0.017709923664122166,0.025954198473282487,0.0070229007633587906,0.01679389312977104,-0.013435114503816714,0.009465648854961848,0.007633587786259555,-0.002137404580152644,0.003053435114503822,0.0009160305343511465,0.0021374045801526753,0.0,0.006106870229007644,0.011603053435114523,0.0003053435114504133,-0.02503816793893123,0.003053435114503822,0.0
Zxing,RandomForestClassifier(random_state=0)8,0.04557377049180329,0.046557377049180323,0.0,0.0,0.08983606557377048,0.0,0.09901639344262293,0.0,0.0862295081967213,0.1209836065573771,0.07999999999999996,0.02032786885245904,0.011475409836065587,0.05180327868852461,0.02885245901639347,0.03868852459016397,0.06426229508196718,0.010491803278688537,0.042950819672131164,0.053770491803278676,0.011475409836065587,0.035081967213114774,0.033442622950819706,0.025573770491803302,0.03639344262295084,0.0
Zxing,RandomForestClassifier(random_state=0)9,0.0,0.0,0.0,0.0,0.012521739130434804,0.0,0.0173913043478261,-0.00034782608695647975,0.020869565217391313,0.0,0.0,0.018782608695652177,0.008000000000000033,0.0,0.00730434782608699,0.002782608695652193,0.00486956521739132,0.002434782608695665,0.0,0.004521739130434814,0.0,0.00973913043478264,0.0,0.002086956521739145,0.0,0.004173913043478281
Zxing,RandomForestClassifier(random_state=0)10,0.019099099099099126,0.0,0.0,0.0,0.02414414414414417,0.0,0.024864864864864885,0.0,0.04144144144144143,0.03063063063063065,0.013333333333333357,0.0,0.02414414414414418,0.0,0.009009009009009028,0.036396396396396385,0.04576576576576577,0.012972972972972991,0.0,0.003603603603603611,0.0,0.0,0.0014414414414414445,0.0,0.0,0.0
Zxing,RandomForestClassifier(random_state=0)11,0.0,0.0,0.0,0.0,0.0020689655172413967,0.0,0.008620689655172441,-0.0017241379310344528,0.021034482758620715,0.013793103448275907,0.0,-0.02413793103448271,0.0024137931034482964,-0.0034482758620689503,0.009655172413793172,0.00034482758620689945,0.004827586206896588,0.0,0.0,0.0,0.0,-0.015172413793103407,0.0,0.0,0.0,0.0
