project,cls_boot,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
camel-1.2,RandomForestClassifier(random_state=0)0,0.005685279187817276,0.008934010152284273,0.0,0.026395939086294392,-0.003248730964467015,0.009340101522842658,0.03796954314720812,0.015228426395939083,0.0008121827411167537,0.006091370558375653,0.016649746192893403,0.003654822335025392,0.0020304568527918843,0.0854822335025381,0.021725888324873096,0.0,0.0,0.0071065989847715946,0.0,0.016243654822335026
camel-1.2,RandomForestClassifier(random_state=0)1,0.0035121951219512226,0.016975609756097576,0.008780487804878057,0.015024390243902452,0.001560975609756099,0.00741463414634147,0.014634146341463428,0.011121951219512205,0.003707317073170735,0.02556097560975612,0.03941463414634149,0.0,0.005658536585365859,0.028487804878048806,0.026926829268292703,0.0,0.0,0.053853658536585344,-0.002731707317073173,0.011707317073170742
camel-1.2,RandomForestClassifier(random_state=0)2,0.011483253588516807,0.005167464114832563,0.007655502392344542,0.02162679425837326,0.00784688995215315,0.007272727272727311,0.03578947368421057,0.008612440191387601,0.024114832535885228,0.010717703349282348,0.017990430622009633,0.0,0.003444976076555042,0.058755980861244075,0.02105263157894742,0.0,0.0003827751196172269,0.015885167464114894,0.01224880382775126,0.021818181818181882
camel-1.2,RandomForestClassifier(random_state=0)3,0.0054368932038834925,0.0,0.031262135922330084,0.01941747572815533,0.011456310679611646,0.006213592233009706,0.0469902912621359,0.01631067961165048,0.0054368932038834925,0.0087378640776699,0.02349514563106795,0.008932038834951452,0.0,0.03650485436893202,0.02174757281553397,0.0,0.0,0.03592233009708736,0.0,0.14155339805825246
camel-1.2,RandomForestClassifier(random_state=0)4,0.002115384615384608,0.010961538461538427,0.012692307692307647,0.011538461538461511,0.015192307692307682,0.0019230769230769162,0.03769230769230768,0.03442307692307692,0.03865384615384614,0.00846153846153844,0.027115384615384625,0.0,0.009423076923076899,0.07596153846153846,0.022307692307692303,0.0,0.0007692307692307665,0.026346153846153856,0.004807692307692291,0.017884615384615388
camel-1.2,RandomForestClassifier(random_state=0)5,0.0027649769585253916,0.0,0.03281105990783415,0.02322580645161294,0.008110599078341085,0.01824884792626731,0.021382488479262704,0.024516129032258093,0.032073732718894035,0.01640552995391709,0.03649769585253461,0.0033179723502304802,0.0014746543778802134,0.03317972350230418,0.005529953917050752,0.0,0.0,0.018617511520737363,0.004608294930875658,0.004976958525345707
camel-1.2,RandomForestClassifier(random_state=0)6,0.0039215686274509665,0.0,-0.000588235294117645,0.01196078431372547,-0.017647058823529446,0.007254901960784288,0.039803921568627436,0.021960784313725484,-0.01039215686274511,0.02137254901960785,0.022549019607843154,0.01882352941176471,0.0,0.050980392156862744,0.017058823529411748,0.0,-0.0013725490196078382,0.07529411764705882,0.004509803921568611,0.010588235294117622
camel-1.2,RandomForestClassifier(random_state=0)7,0.0023853211009174256,0.001651376146788981,0.0,0.009724770642201848,0.001100917431192654,0.004403669724770634,0.042201834862385344,0.015045871559633052,0.009908256880733966,0.009541284403669734,0.011926605504587177,0.0,0.002752293577981635,0.056880733944954145,0.005321100917431183,0.005137614678899083,0.0,0.016697247706422034,0.0,0.06532110091743122
camel-1.2,RandomForestClassifier(random_state=0)8,0.0096860986547085,0.01811659192825108,0.0,0.04358744394618833,0.010224215246636756,0.015246636771300417,0.042869955156950634,0.032107623318385625,0.03049327354260087,0.03695067264573988,0.04681614349775783,0.026008968609865436,0.0,0.05076233183856496,0.03641255605381164,0.0,0.03228699551569505,0.04161434977578473,0.0071748878923767025,0.0360538116591928
camel-1.2,RandomForestClassifier(random_state=0)9,0.0,0.007017543859649145,0.0,0.009649122807017579,0.005438596491228087,0.0,0.045614035087719336,0.00877192982456143,0.0038596491228070295,0.014385964912280747,0.007192982456140373,0.007894736842105288,0.0052631578947368585,0.01912280701754392,0.004210526315789487,0.0,0.0,0.014736842105263204,-0.0008771929824561253,0.031228070175438653
camel-1.2,RandomForestClassifier(random_state=0)10,0.0026415094339622414,0.0003773584905660332,0.0037735849056603323,0.03358490566037731,0.004716981132075446,0.007547169811320726,0.05226415094339618,0.01716981132075469,0.07830188679245279,0.0152830188679245,0.005471698113207508,0.0,0.008490566037735832,0.07415094339622638,0.00792452830188677,0.0,0.0,0.01018867924528299,0.0,0.005849056603773546
camel-1.2,RandomForestClassifier(random_state=0)11,0.005209302325581375,0.0026046511627906897,0.004465116279069754,0.01711627906976739,0.001116279069767425,0.0033488372093023067,0.058418604651162734,0.025116279069767367,0.0009302325581395321,0.03218604651162784,0.011720930232558104,0.0046511627906976605,0.008186046511627883,0.028465116279069703,0.009116279069767414,0.0,-0.00018604651162791087,0.03720930232558134,0.0026046511627906897,0.013953488372092981
camel-1.2,RandomForestClassifier(random_state=0)12,0.004521739130434774,0.0020869565217391316,0.007826086956521783,0.015304347826086988,0.007304347826086981,0.0,0.016347826086956535,0.00834782608695654,0.017913043478260886,0.010086956521739153,0.026086956521739157,0.0,0.003826086956521717,0.0886956521739131,0.029565217391304376,0.0,0.024869565217391348,0.013913043478260887,0.0,0.018260869565217424
camel-1.2,RandomForestClassifier(random_state=0)13,0.004033613445378137,0.004201680672268897,0.0,0.04756302521008404,0.00605042016806721,0.007899159663865545,0.028067226890756313,0.01714285714285718,0.012773109243697513,0.0015126050420168013,0.014957983193277347,0.0,0.0,0.033109243697478995,0.0080672268907563,0.0,0.0,0.01058823529411767,0.0,0.011260504201680682
