project,cls_boot,accuracy,precision,recall,f1,auc,mcc
EQ,RandomForestClassifier(random_state=0)0,0.7555555555555555,0.74,0.8043478260869565,0.7708333333333333,0.7544466403162056,0.5119375347888565
EQ,RandomForestClassifier(random_state=0)1,0.6704545454545454,0.775,0.6078431372549019,0.6813186813186813,0.6822999470058294,0.3614530334001607
EQ,RandomForestClassifier(random_state=0)2,0.7023809523809523,0.7083333333333334,0.7555555555555555,0.7311827956989247,0.6982905982905983,0.39966747812078285
EQ,RandomForestClassifier(random_state=0)3,0.7078651685393258,0.6730769230769231,0.7954545454545454,0.7291666666666666,0.7088383838383838,0.4237116260282954
EQ,RandomForestClassifier(random_state=0)4,0.625,0.6666666666666666,0.6071428571428571,0.6355140186915887,0.6264880952380952,0.25227328222550205
EQ,RandomForestClassifier(random_state=0)5,0.7045454545454546,0.6181818181818182,0.8717948717948718,0.723404255319149,0.7216117216117216,0.4547940268270977
EQ,RandomForestClassifier(random_state=0)6,0.6881720430107527,0.6170212765957447,0.725,0.6666666666666666,0.6926886792452831,0.38161574183427327
EQ,RandomForestClassifier(random_state=0)7,0.6888888888888889,0.6226415094339622,0.8048780487804879,0.7021276595744681,0.6983573917371827,0.40154068560655665
EQ,RandomForestClassifier(random_state=0)8,0.6702127659574468,0.5789473684210527,0.825,0.6804123711340206,0.6902777777777778,0.3851293814160426
EQ,RandomForestClassifier(random_state=0)9,0.7065217391304348,0.639344262295082,0.8863636363636364,0.742857142857143,0.7140151515151516,0.45235116080408216
EQ,RandomForestClassifier(random_state=0)10,0.7142857142857143,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7112794612794613,0.4225589225589226
EQ,RandomForestClassifier(random_state=0)11,0.6105263157894737,0.6444444444444445,0.58,0.6105263157894737,0.6122222222222222,0.22444444444444445
EQ,RandomForestClassifier(random_state=0)12,0.6777777777777778,0.6666666666666666,0.7391304347826086,0.7010309278350515,0.6763833992094862,0.3558570433894593
EQ,RandomForestClassifier(random_state=0)13,0.7142857142857143,0.7346938775510204,0.7058823529411765,0.7200000000000001,0.7146433041301627,0.4289288693579751
EQ,RandomForestClassifier(random_state=0)14,0.7931034482758621,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.7963944856839872,0.5937341576786359
EQ,RandomForestClassifier(random_state=0)15,0.6593406593406593,0.717948717948718,0.5833333333333334,0.6436781609195402,0.6637596899224807,0.3304135690539768
EQ,RandomForestClassifier(random_state=0)16,0.7558139534883721,0.7380952380952381,0.7560975609756098,0.746987951807229,0.7558265582655826,0.5112376449916541
EQ,RandomForestClassifier(random_state=0)17,0.7419354838709677,0.8604651162790697,0.6727272727272727,0.7551020408163266,0.7574162679425838,0.5075979954018915
EQ,RandomForestClassifier(random_state=0)18,0.7142857142857143,0.7017543859649122,0.7547169811320755,0.7272727272727273,0.7138969521044993,0.42935463140755165
EQ,RandomForestClassifier(random_state=0)19,0.6666666666666666,0.7058823529411765,0.6792452830188679,0.6923076923076923,0.6652040368582711,0.32925431000569005
EQ,RandomForestClassifier(random_state=0)20,0.7078651685393258,0.6296296296296297,0.85,0.723404255319149,0.7209183673469388,0.44994450701040334
EQ,RandomForestClassifier(random_state=0)21,0.68,0.8048780487804879,0.5789473684210527,0.6734693877551021,0.6964504283965729,0.39549108414762557
EQ,RandomForestClassifier(random_state=0)22,0.7222222222222222,0.7142857142857143,0.7608695652173914,0.7368421052631581,0.7213438735177866,0.4443373158376759
EQ,RandomForestClassifier(random_state=0)23,0.6966292134831461,0.6595744680851063,0.7380952380952381,0.6966292134831461,0.6988348530901722,0.3976697061803445
EQ,RandomForestClassifier(random_state=0)24,0.6774193548387096,0.7021276595744681,0.673469387755102,0.6875000000000001,0.677643784786642,0.35479422857682236
EQ,LogisticRegression(random_state=0)0,0.6222222222222222,0.65,0.5652173913043478,0.6046511627906976,0.6235177865612649,0.24851336640235755
EQ,LogisticRegression(random_state=0)1,0.5681818181818182,0.6857142857142857,0.47058823529411764,0.558139534883721,0.5866454689984102,0.17477923961688568
EQ,LogisticRegression(random_state=0)2,0.5595238095238095,0.5952380952380952,0.5555555555555556,0.574712643678161,0.5598290598290598,0.11935247900657214
EQ,LogisticRegression(random_state=0)3,0.6292134831460674,0.6410256410256411,0.5681818181818182,0.6024096385542169,0.6285353535353535,0.25904062635433484
EQ,LogisticRegression(random_state=0)4,0.5961538461538461,0.6458333333333334,0.5535714285714286,0.5961538461538463,0.5997023809523809,0.19940476190476192
EQ,LogisticRegression(random_state=0)5,0.6818181818181818,0.6122448979591837,0.7692307692307693,0.6818181818181818,0.6907378335949764,0.3814756671899529
EQ,LogisticRegression(random_state=0)6,0.6021505376344086,0.5333333333333333,0.6,0.5647058823529412,0.6018867924528302,0.20187797547313596
EQ,LogisticRegression(random_state=0)7,0.5444444444444444,0.5,0.6585365853658537,0.5684210526315789,0.5537580886012943,0.10929886509657227
EQ,LogisticRegression(random_state=0)8,0.5319148936170213,0.46551724137931033,0.675,0.5510204081632654,0.5504629629629629,0.10265128040926157
EQ,LogisticRegression(random_state=0)9,0.6413043478260869,0.6122448979591837,0.6818181818181818,0.6451612903225806,0.6429924242424242,0.2863239744767383
EQ,LogisticRegression(random_state=0)10,0.5816326530612245,0.6585365853658537,0.5,0.5684210526315789,0.590909090909091,0.1833290012466598
EQ,LogisticRegression(random_state=0)11,0.5052631578947369,0.5405405405405406,0.4,0.45977011494252873,0.5111111111111111,0.02275432131373717
