project,cls_boot,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
xalan-2.5,DecisionTreeClassifier(random_state=0)17,0.02737512097074378,0.017883322166803137,0.002462219906201106,0.04138129978411378,0.023890791334772628,0.19274609791806252,0.0903626640859574,0.10859922082433808,0.0113669073674285,0.11684719223802079,0.24353395865902386,0.035595796421747476,0.022020769746147573,0.08097037147323755,0.10228429985855728,0.08214533859400978,0.11902342489888086,0.12123687932703038,0.06184706816546317,0.11607707387280078
xalan-2.5,DecisionTreeClassifier(random_state=0)18,0.03037944230457605,0.02943756777981383,0.008017276840806331,0.02223103100108456,0.026361267965546113,0.1234971267591589,0.05363574037370834,0.09853533275993179,0.04427944604415199,0.11593271256372867,0.3218483477307008,0.03431397479525827,0.01181169988656626,0.0729250962940803,0.11398763446891794,0.009374119641499385,0.07540705284020795,0.0635439961108411,0.023462348702990462,0.15951111277314492
xalan-2.5,DecisionTreeClassifier(random_state=0)19,0.01852323575731815,0.013694222933279977,0.0065066370022248245,0.06490688198385121,0.04304164687648422,0.17595042871784616,0.0551256155788316,0.06697135214858888,0.10705409594280431,0.04843824213184007,0.24698622603304757,0.03245744069194809,0.013249256305777037,0.03878321625878057,0.1302693547983901,0.04680836437267205,0.09064595155363347,0.18190448216383776,0.1137298452616054,0.03802702297327701
xalan-2.5,DecisionTreeClassifier(random_state=0)20,0.0344618171890899,0.03249199612835976,0.014868959868959886,0.07998200680018865,0.07532710396346755,0.18645409872682606,0.049714218350581964,0.08912304866850324,0.06608927108927108,0.10022733477278933,0.16358697540515724,0.06218276127367034,0.009477328568237686,0.15331112103839373,0.0907301516392425,0.0016872657781749334,0.12459844141662325,0.20358697540515722,0.019300995210086106,0.03594396048941505
xalan-2.5,DecisionTreeClassifier(random_state=0)21,0.051075003427944576,0.08502399561223088,0.02600027423556837,0.06847662141779788,0.01686960098724804,0.18595228301110658,0.03907034142328259,0.06789935554641438,0.06589058000822705,0.13356232003290822,0.29523104346633755,0.0,0.004320581379404942,0.09825037707390648,0.20515699986288216,0.01332510626628272,0.029625668449197874,0.21616070204305501,0.08293294940353763,0.11433429315782258
xalan-2.5,DecisionTreeClassifier(random_state=0)22,0.07822919917608141,0.035567193059109915,0.0034839273453592234,0.07306085762436804,0.11403295674427312,0.0475970288995693,0.10445602646526432,0.07262692715810495,0.059237750452531074,0.14790450034329938,0.08679670432557267,0.024163160851382565,0.002491355096435894,0.12447712377504523,0.18315173834342427,0.005560576743024788,0.06468772236439671,0.20447238000124837,0.0527295424755009,0.020576243680169762
xalan-2.5,DecisionTreeClassifier(random_state=0)23,0.02724434104627762,0.03368863179074443,0.015745724346076465,0.13817467303822936,0.06353055835010055,0.19600767102615696,0.06339964788732386,0.046419014084507014,0.03434884305835007,0.18019253018108652,0.12777188128772635,0.011997484909456721,0.016298038229376244,0.0748860663983903,0.11813204225352114,0.0,0.1020103118712274,0.23094014084507042,0.0179363682092555,0.020071680080482882
xalan-2.5,DecisionTreeClassifier(random_state=0)24,0.02373053105648331,0.020569712891724445,0.005477575530118148,0.03820816913742409,0.03307049477700624,0.18964383561643824,0.021645336836179318,0.07531919684743847,0.09088534434227803,0.07193507224619997,0.15340839432038522,0.056567085757177615,0.0,0.0920545443172577,0.217867142052918,0.005247513604803858,0.04819328204165882,0.2626893100644273,0.06789303809345086,0.041077875774066346
xalan-2.5,KNeighborsClassifier()0,0.00911817696102183,0.005683825996197838,0.002622606577950037,0.04568469576670269,0.06969881089946693,0.1320659534548527,0.028483244492488895,0.026259738323330947,0.006804338912289851,1.0064487270255995e-05,0.3549862700513164,0.00010959108360972803,-0.0001358084516842606,-0.0003461686609262182,0.0004079223667697507,0.00024490252357696197,0.03249847790161652,0.16054087300108097,0.0029090095799007985,0.0006290925808575532
xalan-2.5,KNeighborsClassifier()1,0.013853693640040654,0.008829375418744867,0.0017823022903793984,0.061234770093550654,0.06579319586093942,0.10726581304747011,0.02325764907317795,0.037027221519144386,0.015121839251594302,-0.00015893694632623134,0.38095324946028425,-0.0002410729794784272,0.0008140400506215784,0.0007518796992481036,0.0005586987270155275,-0.0001843718206407452,0.03102397081813443,0.15447169904960417,0.004491922876498142,0.0006946822501798699
xalan-2.5,KNeighborsClassifier()2,0.015637946040034784,0.0034244684819097282,0.0018501802809896973,0.04210369265199551,0.07099353475071488,0.11259691657341789,0.02852169588462015,0.016515727962203148,0.01647059554892452,0.0005838617431306848,0.39343752331219695,8.454556757429011e-05,-8.118861121471532e-05,0.0004800447594181323,4.426209125949932e-05,0.0006883003854283443,0.03475630983463881,0.1762699241576526,0.002205147333084656,0.0005863483774711043
xalan-2.5,KNeighborsClassifier()3,0.011261924060103436,0.0018438805411808402,0.0023782031298708838,0.05584737203067518,0.052717625787143806,0.14172392293783898,0.026246399401458908,0.025468794812644156,0.013014527090217562,0.000977617058420037,0.36952266350769997,0.00022445289606576324,1.2344909283616979e-05,-5.8357752977107326e-05,4.85067647608961e-05,0.0012377330257496988,0.03771606708647668,0.16011546854542047,0.0037133237733025172,3.3667934409153945e-06
xalan-2.5,KNeighborsClassifier()4,0.011649048363482985,0.004809052333804833,5.3227127224033667e-05,0.04670934762649199,0.07344053202312714,0.09507580833271298,0.015515149259286858,0.0290865778307154,0.012746966425965924,-0.00020670488101437456,0.39139705699893296,-0.0001496315045037777,-0.0005667634432615687,0.00017978113600837896,0.0008886076577582802,0.000809449365989261,0.042247450308940684,0.16278096230675704,0.0006661455619246492,0.0002292860865034152
xalan-2.5,KNeighborsClassifier()5,0.011068449277521299,0.00041151497095195835,0.001984582154029568,0.04281232931128662,0.07112865584189887,0.10632516510253741,0.023599856000794568,0.02415648741248332,0.008340781568101781,3.0413625304186453e-05,0.3884633050300414,8.441332737480601e-05,0.00026341923630772256,0.00012711654004672114,0.00021202641640603482,0.0007149064005164973,0.03487685585182989,0.21300374894483348,0.001352847708426519,0.00015132330304391318
