project,cls_boot,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Zxing,RandomForestClassifier(random_state=0)0,0.0,0.0,0.0,0.0,0.0023501047512623384,0.0,0.00039550532180462563,-0.0002997162786435803,0.00518069573144162,0.005639925427609138,0.00258302583025837,0.0008559488379218161,0.0036997483450722114,0.005486832126138887,0.005669732948664219,0.0,0.0006077707835902046,0.003889006479795838,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015833068282672925,0.0009954751131221683
Zxing,RandomForestClassifier(random_state=0)1,0.0,0.0,0.0,0.0,0.002869885600251858,0.0032331622585116014,0.0023304987359227345,0.0,0.003764651804182879,0.007015188163741741,0.0010756148011951084,0.0275073742009845,0.005208281654832439,0.0,0.002512926796918391,0.0017926913353251805,0.003665946024342688,0.002152809066121786,0.0,0.0,0.0,0.00017011581545471445,0.0,0.0061141041048844436,0.003047575270052807,0.001971960468857699
Zxing,RandomForestClassifier(random_state=0)2,0.0,0.0,0.0,0.0,0.0008500303582270607,0.0,0.004402359909219635,0.0002569368438054331,0.005797101521696559,0.0017000607164541215,0.0008514353670836394,0.0137616519186279,0.0008640747832043827,0.0004379660078523129,0.0011601597474644664,0.001955367210636498,0.007009224494376025,-0.0007977201063199857,0.002040072859744946,0.0030372277168103645,7.809133293207982e-05,0.000986530860067134,-0.0010758580921373096,0.0011522448156002741,0.0003758165670618974,-0.0006112384977981655
Zxing,RandomForestClassifier(random_state=0)3,0.0,0.0,0.0,0.0,0.0020803167772951926,0.0,0.0010221108835377813,0.0,0.001348597975775725,0.00760851278980022,0.0,0.0911468938076752,0.0005909364145498763,0.0,-0.00028401156544182626,0.0,0.0031137264976820542,0.0012452923592468368,0.0,0.0,0.0,0.0,0.009328450898971906,0.0,0.0,0.0
Zxing,RandomForestClassifier(random_state=0)4,0.0,0.0,0.0,0.0,0.005374729702153775,0.0,1.1604086069225693e-05,0.0,0.0019170124481327734,0.00664574037743705,0.005942811507144175,0.025275876053901646,0.008757535618980272,0.0,0.0012199170124481285,0.00435684647302903,0.00978596200061668,0.0036597510373443855,0.0,0.0,0.0,0.004885501484400745,0.0015684647302904508,0.003667042830604674,0.0005228215767634836,0.0013941908713692897
Zxing,RandomForestClassifier(random_state=0)5,0.0,0.0,0.0,0.0,0.008539850471665384,0.00019293712316968746,0.0030869939707149994,-0.0008424924348735141,0.010194694469472526,0.011475812561062787,0.0023152454780362495,0.00834879083803548,0.007322160238917563,0.021387832566130895,0.007355051639337771,0.0,0.005726145280970174,0.003996704523923067,0.0,0.0,0.0,0.0031567031044763814,0.0,0.0,0.0,0.0
Zxing,RandomForestClassifier(random_state=0)6,0.0,-0.0011190162037816886,-0.0013369118087828947,0.0,0.0023085866624137897,0.0,0.0007918771331564178,0.0,0.01585138604341772,0.008765066739619791,0.002131878657935693,0.0071520388945871495,-8.437109268448317e-05,0.018450540117133433,0.003008251714995973,4.511309252590578e-06,0.004466920452462828,0.0007232955939594099,0.0004423368274644712,0.0038919915130444195,0.00036860688364623415,0.0011841203769617436,0.0031351710829390055,0.0005714899590245448,0.002399291076915593,0.0
Zxing,RandomForestClassifier(random_state=0)7,0.0,0.0,0.0,0.0,0.0038317326555495114,0.00703912380822842,0.0036404026776843644,0.0,0.009454314154171639,0.013997742674748221,0.0029384620455111853,0.02963061408275909,0.003505412134290693,0.004145166377724534,0.00397980397980402,0.0,0.0015931556396672785,0.0011155791620907963,0.0011143451143451255,0.0,0.0025483085948202434,0.00447470034149974,0.000746573080345172,0.002854706969655587,0.001591921591921608,0.0
Zxing,RandomForestClassifier(random_state=0)8,0.0029334804635299206,0.007443434909525104,0.0,0.0,0.011666377653096421,0.0,0.013023161987397901,0.0,0.01079706807058537,0.02140590392348969,0.008350752876623492,0.004267470880015636,0.004127083143176069,0.008846321666976511,0.0012009653008424426,0.004888478890941088,0.008407729919309053,0.0015278852586562942,0.00845938227110265,0.007511446214959583,0.002925600209064805,0.005752824166956949,0.005831491097230752,0.003621928191070811,0.0036961022453711532,0.002966926070038944
Zxing,RandomForestClassifier(random_state=0)9,0.0,0.0,0.0,0.0001892225421637228,0.006844939775618717,0.0,0.009323913261219627,0.0072143973811206585,0.01318696439593658,0.0,0.0,0.010480127914983596,0.004533527176557061,0.0005185275773511088,0.003980585624421309,0.0015137803373097825,0.004562289153104509,0.0013262858548918422,0.0,0.0024598930481283966,0.0,0.0018922254216372282,0.0,0.0011353352529823368,0.0,0.0036566444785623275
Zxing,RandomForestClassifier(random_state=0)10,0.0036175926914721224,0.0,0.0,0.0,0.0072910582671875,0.0,0.005340390695711283,0.0,0.009124558848318759,0.009094395312229886,0.0040711650410785085,0.001513780337309747,0.010173301991344981,0.0,0.0028266206880080036,0.006538889120742608,0.012834697643836507,0.0014195687284505264,0.0,0.0010220196134781202,0.0,0.0,6.110672921250782e-05,0.0,0.0,0.0
