project,cls_boot,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
camel-1.2,RandomForestClassifier(random_state=0)0,0.005076142131979711,0.009137055837563461,0.0,0.02213197969543146,-0.0030456852791878263,0.00994923857868022,0.03654822335025381,0.01157360406091371,0.0012182741116751306,0.007309644670050779,0.017258883248730962,0.00385786802030458,0.0020304568527918843,0.08568527918781726,0.020710659898477157,0.0,0.0,0.006903553299492402,0.0,0.015431472081218285
camel-1.2,RandomForestClassifier(random_state=0)1,0.0035121951219512226,0.016975609756097576,0.008390243902439032,0.01404878048780489,0.0005853658536585371,0.006243902439024396,0.014634146341463428,0.011121951219512205,0.003707317073170735,0.026146341463414654,0.045658536585365825,0.0,0.005658536585365859,0.028292682926829293,0.02478048780487807,0.0,0.0,0.053073170731707295,-0.002536585365853661,0.015024390243902452
camel-1.2,RandomForestClassifier(random_state=0)2,0.011483253588516807,0.005167464114832563,0.007081339712918701,0.018947368421052692,0.009377990430622058,0.007272727272727311,0.03598086124401919,0.00918660287081344,0.024114832535885228,0.008612440191387604,0.01856459330143547,0.0,0.003444976076555042,0.05952153110047854,0.0206698564593302,0.0,0.0003827751196172269,0.015885167464114884,0.01110047846889958,0.01952153110047853
camel-1.2,RandomForestClassifier(random_state=0)3,0.0054368932038834925,0.0,0.031262135922330084,0.019611650485436883,0.011650485436893199,0.006213592233009706,0.04446601941747571,0.015533980582524264,0.006213592233009706,0.009320388349514559,0.024854368932038823,0.008932038834951452,0.0,0.028543689320388338,0.02116504854368931,0.0,0.0,0.034757281553398044,0.0,0.13650485436893206
camel-1.2,RandomForestClassifier(random_state=0)4,0.0013461538461538413,0.010769230769230736,0.012692307692307647,0.011346153846153824,0.014807692307692294,0.0019230769230769162,0.03884615384615384,0.03673076923076921,0.040769230769230766,0.00826923076923075,0.027884615384615393,0.0,0.009423076923076899,0.07519230769230768,0.022115384615384613,0.0,0.0007692307692307665,0.02538461538461539,0.004807692307692291,0.017115384615384623
camel-1.2,RandomForestClassifier(random_state=0)5,0.0014746543778802134,0.0,0.025990783410138246,0.022857142857142895,0.008479262672811126,0.017511520737327223,0.021751152073732752,0.025253456221198185,0.034285714285714315,0.011612903225806513,0.03963133640553,0.0033179723502304802,0.0014746543778802134,0.03299539170506916,0.0049769585253456846,0.0,0.0,0.020092165898617544,0.0042396313364056045,0.004792626728110685
camel-1.2,RandomForestClassifier(random_state=0)6,0.0039215686274509665,0.0,-0.00509803921568627,0.01098039215686272,-0.018235294117647093,0.005294117647058805,0.0372549019607843,0.021764705882352936,-0.009803921568627456,0.021568627450980406,0.02078431372549021,0.015882352941176448,0.0,0.05254901960784315,0.016666666666666653,0.0,-0.0013725490196078382,0.07784313725490195,0.004509803921568611,-0.003137254901960782
camel-1.2,RandomForestClassifier(random_state=0)7,0.0014678899082568764,0.001651376146788981,0.0,0.008990825688073412,0.0016513761467889855,0.00605504587155965,0.042385321100917445,0.012293577981651404,0.010091743119266078,0.009724770642201843,0.011743119266055074,0.0,0.002752293577981635,0.061467889908256905,0.004220183486238529,0.0036697247706421886,0.0,0.0161467889908257,0.0,0.0651376146788991
camel-1.2,RandomForestClassifier(random_state=0)8,0.0096860986547085,0.017219730941703995,0.0,0.04286995515695066,0.009327354260089682,0.015246636771300417,0.04340807174887889,0.032107623318385625,0.029237668161434947,0.0349775784753363,0.047174887892376664,0.026008968609865436,0.0,0.05058295964125556,0.036233183856502225,0.0,0.03228699551569505,0.041793721973094146,0.0071748878923767025,0.0349775784753363
camel-1.2,RandomForestClassifier(random_state=0)9,0.0,0.007017543859649145,0.0,0.011228070175438632,0.00631578947368423,0.0,0.04263157894736846,0.00877192982456143,0.0038596491228070295,0.014912280701754432,0.007192982456140373,0.007894736842105288,0.004035087719298258,0.01912280701754392,0.004210526315789487,0.0,0.0,0.014561403508771975,-0.0008771929824561253,0.033684210526315844
camel-1.2,RandomForestClassifier(random_state=0)10,0.0024528301886792246,0.0003773584905660332,0.0037735849056603323,0.026981132075471672,0.005849056603773555,0.007547169811320726,0.04999999999999996,0.01716981132075469,0.07830188679245279,0.014716981132075441,0.005471698113207508,0.0,0.008490566037735832,0.06754716981132072,0.007547169811320726,0.0,0.0,0.008867924528301856,0.0,0.005660377358490525
camel-1.2,RandomForestClassifier(random_state=0)11,0.0042790697674418435,0.0026046511627906897,0.004465116279069754,0.017302325581395297,0.001116279069767425,0.003720930232558124,0.0548837209302325,0.025116279069767367,0.0009302325581395321,0.03181395348837202,0.012837209302325544,0.004465116279069754,0.008186046511627883,0.02939534883720924,0.008372093023255789,0.0,-0.00018604651162791087,0.03758139534883716,0.0026046511627906897,0.012837209302325544
camel-1.2,RandomForestClassifier(random_state=0)12,0.0034782608695652106,0.0020869565217391316,0.0074782608695652545,0.015130434782608733,0.008000000000000021,0.0,0.015826086956521754,0.00904347826086958,0.019304347826086983,0.009739130434782632,0.02313043478260872,0.0,0.003826086956521717,0.09234782608695659,0.02939130434782612,0.0,0.024869565217391348,0.015478260869565235,0.0,0.018434782608695684
camel-1.2,RandomForestClassifier(random_state=0)13,0.004033613445378137,0.004705882352941168,0.0,0.0477310924369748,0.0065546218487394815,0.007899159663865545,0.02890756302521009,0.018319327731092464,0.012773109243697513,0.0015126050420168013,0.01428571428571432,0.0,0.00235294117647058,0.03663865546218487,0.007394957983193273,0.0,0.0,0.010084033613445396,0.0,0.012436974789915997
